time	distance	voltage
82	4	-2.458684753
86	4	-2.823193827
90	4	-3.146392854
94	4	-3.394658537
98	4	-3.643069224
102	4	-3.772154581
106	4	-3.820805996
110	4	-3.802465282
114	4	-3.735557546
118	4	-3.722655853
122	4	-3.613583852
126	4	-3.40321256
130	4	-3.172710376
134	4	-2.913253486
138	4	-2.704318497
142	4	-2.428791646
146	4	-2.091966415
150	4	-1.80939617
154	4	-1.518188503
158	4	-1.255373269
162	4	-0.948269835
166	4	-0.609435096
170	4	-0.346145876
174	4	-0.062085187
178	4	0.208508918
182	4	0.496170838
186	4	0.774932549
190	4	0.986653591
194	4	1.21849753
198	4	1.412205239
202	4	1.559137481
206	4	1.70340844
210	4	1.77836781
214	4	1.800784124
218	4	1.797194775
222	4	1.752407492
226	4	1.762230124
230	4	1.764637981
234	4	1.740977904
238	4	1.719370073
242	4	1.751719195
246	4	1.825136179
250	4	1.891376335
254	4	1.961027168
258	4	2.068638198
262	4	2.22534453
266	4	2.405497485
270	4	2.579424622
274	4	2.718549246
278	4	2.883545534
282	4	3.080675141
286	4	3.264029595
290	4	3.448804405
294	4	3.635729802
298	4	3.817623676
302	4	4.048398192
306	4	4.283856549
310	4	4.516530764
314	4	4.705987723
318	4	4.849483291
322	4	5.021144297
326	4	5.189079871
330	4	5.343468044
334	4	5.467962343
338	4	5.560689497
342	4	5.696861723
346	4	5.891572885
350	4	6.014865258
354	4	6.13392103
358	4	6.208202871
362	4	6.28961564
366	4	6.355444546
370	4	6.442604519
374	4	6.558061544
378	4	6.682647285
382	4	6.81892223
386	4	6.964591901
390	4	7.144538838
394	4	7.359269937
398	4	7.550032574
402	4	7.659945797
406	4	7.742077261
410	4	7.821980997
414	4	7.915734569
418	4	7.975219321
422	4	7.980824129
426	4	7.96888058
430	4	7.967115662
434	4	8.020106478
438	4	8.066470654
442	4	8.116660049
446	4	8.113354582
450	4	8.085635574
454	4	8.110190745
458	4	8.107611129
462	4	8.112650113
466	4	8.11019264
470	4	8.055916981
474	4	8.051588135
478	4	8.118816764
482	4	8.122038275
486	4	8.124032396
490	4	8.149416747
494	4	8.16644139
498	4	8.193426363
502	4	8.157232819
506	4	8.093249901
510	4	8.067825423
514	4	8.019017868
518	4	7.923143929
522	4	7.834474566
526	4	7.751633549
530	4	7.72442036
534	4	7.734366349
538	4	7.694231541
542	4	7.666411047
546	4	7.674911843
550	4	7.624239503
554	4	7.553762511
558	4	7.524879582
562	4	7.486069802
566	4	7.442238731
570	4	7.369177503
574	4	7.247451102
578	4	7.221065799
582	4	7.211256555
586	4	7.149618992
590	4	7.046906824
594	4	6.973075103
598	4	6.935372155
602	4	6.856481888
606	4	6.730175861
610	4	6.66305229
614	4	6.568770029
618	4	6.457916564
622	4	6.349138286
626	4	6.22245878
630	4	6.141423662
634	4	6.058462459
638	4	5.946955536
642	4	5.858268566
646	4	5.776036588
650	4	5.678589967
654	4	5.582248513
658	4	5.50639409
662	4	5.438962818
666	4	5.353777145
670	4	5.286714562
674	4	5.258525329
678	4	5.230715549
682	4	5.199134997
686	4	5.136450684
690	4	5.083253258
694	4	5.008241926
698	4	4.905661074
702	4	4.771256602
706	4	4.673009981
710	4	4.567684981
714	4	4.433590102
718	4	4.280257739
722	4	4.156574346
726	4	4.088475857
730	4	4.055531569
734	4	3.96774558
738	4	3.897671459
742	4	3.886264214
746	4	3.892397729
750	4	3.900503111
754	4	3.823366608
758	4	3.726859987
762	4	3.652531372
766	4	3.613819586
770	4	3.572540007
774	4	3.534502961
778	4	3.490969972
782	4	3.461349245
786	4	3.400435857
790	4	3.31936453
794	4	3.236255541
798	4	3.133287547
802	4	2.993178283
806	4	2.863982497
810	4	2.818031385
814	4	2.793581599
818	4	2.794413135
822	4	2.772152316
826	4	2.745630508
830	4	2.769748302
834	4	2.813469154
838	4	2.784068918
842	4	2.760944904
846	4	2.737897266
850	4	2.71408853
854	4	2.731751481
858	4	2.755191011
862	4	2.731514418
866	4	2.703749712
870	4	2.709670937
874	4	2.715224206
878	4	2.753941459
882	4	2.781466181
886	4	2.787531582
890	4	2.784137489
894	4	2.793326349
898	4	2.79851058
902	4	2.843124637
906	4	2.8807995
910	4	2.890717261
914	4	2.872890843
918	4	2.876155876
922	4	2.914954863
926	4	2.923436152
930	4	2.893677965
934	4	2.805924463
938	4	2.700598661
942	4	2.67680609
946	4	2.677673247
950	4	2.649320087
954	4	2.619938798
958	4	2.574643853
962	4	2.594868807
966	4	2.666078798
970	4	2.701905116
974	4	2.701105352
978	4	2.702814874
982	4	2.696517347
986	4	2.694516201
990	4	2.670080628
994	4	2.644803475
998	4	2.647057005
